Sex,Marital status,Age,Education,Income,Occupation,Settlement size
Male,non-sngle,26,high school,107276,skilled employee/official,mid-sized city
Male,single,39,high school,244716,management/highly qualified employee,big city
Male,single,39,high school,183108,management/highly qualified employee,big city
Male,single,32,other/unknown,152876,skilled employee/official,big city
female,non-sngle,30,high school,165147,skilled employee/official,small city
Male,non-sngle,35,high school,140520,skilled employee/official,small city
Male,non-sngle,31,high school,124203,skilled employee/official,mid-sized city
female,non-sngle,23,high school,107205,skilled employee/official,mid-sized city
Male,single,28,other/unknown,121432,unemployed/unskilled,big city
female,non-sngle,25,high school,162445,skilled employee/official,small city
Male,non-sngle,35,high school,134112,skilled employee/official,mid-sized city
Male,single,47,high school,131842,skilled employee/official,mid-sized city
female,non-sngle,30,high school,189896,management/highly qualified employee,small city
female,non-sngle,27,high school,109099,skilled employee/official,big city
female,non-sngle,23,high school,153539,skilled employee/official,mid-sized city
Male,non-sngle,36,high school,180495,management/highly qualified employee,mid-sized city
female,non-sngle,25,high school,104653,skilled employee/official,big city
female,non-sngle,41,university,166933,management/highly qualified employee,big city
Male,single,24,other/unknown,66118,unemployed/unskilled,small city
Male,single,63,university,135754,skilled employee/official,small city
female,non-sngle,27,high school,116103,skilled employee/official,big city
Male,single,30,other/unknown,104293,skilled employee/official,mid-sized city
Male,non-sngle,40,high school,71702,unemployed/unskilled,small city
Male,single,30,other/unknown,99066,skilled employee/official,big city
Male,single,34,high school,143979,management/highly qualified employee,big city
female,non-sngle,29,high school,123818,skilled employee/official,small city
female,non-sngle,24,high school,176714,skilled employee/official,big city
Male,single,29,other/unknown,149249,skilled employee/official,big city
Male,single,27,other/unknown,77535,unemployed/unskilled,small city
Male,single,47,high school,116540,skilled employee/official,mid-sized city
female,non-sngle,21,high school,194728,skilled employee/official,small city
female,non-sngle,38,high school,109311,skilled employee/official,big city
Male,single,27,other/unknown,204723,skilled employee/official,big city
Male,single,66,university,126003,unemployed/unskilled,small city
Male,single,35,high school,123109,skilled employee/official,mid-sized city
female,non-sngle,44,university,108251,unemployed/unskilled,small city
Male,non-sngle,27,high school,89908,unemployed/unskilled,small city
female,non-sngle,30,high school,176057,management/highly qualified employee,mid-sized city
Male,single,27,other/unknown,144332,management/highly qualified employee,big city
Male,single,22,other/unknown,101185,skilled employee/official,mid-sized city
female,non-sngle,23,high school,107406,skilled employee/official,big city
Male,single,30,other/unknown,140665,skilled employee/official,mid-sized city
female,non-sngle,39,university,106461,skilled employee/official,small city
female,non-sngle,51,university,127825,skilled employee/official,small city
Male,single,28,other/unknown,133898,skilled employee/official,mid-sized city
Male,single,46,high school,152383,skilled employee/official,big city
Male,single,42,high school,119926,skilled employee/official,small city
Male,single,38,high school,108784,skilled employee/official,big city
Male,single,24,other/unknown,153286,skilled employee/official,mid-sized city
female,non-sngle,29,high school,214204,skilled employee/official,big city
Male,single,36,high school,208101,management/highly qualified employee,big city
female,non-sngle,20,high school,95355,skilled employee/official,mid-sized city
Male,single,48,high school,124156,skilled employee/official,mid-sized city
Male,non-sngle,45,university,72215,unemployed/unskilled,small city
Male,single,38,high school,146529,skilled employee/official,big city
Male,single,34,high school,75343,unemployed/unskilled,small city
Male,single,36,high school,129789,skilled employee/official,mid-sized city
female,non-sngle,30,high school,101153,skilled employee/official,mid-sized city
Male,single,36,high school,127833,skilled employee/official,big city
Male,single,70,university,224998,management/highly qualified employee,big city
Male,single,36,high school,124445,skilled employee/official,big city
Male,single,32,other/unknown,141116,skilled employee/official,mid-sized city
female,non-sngle,33,high school,104276,skilled employee/official,big city
female,non-sngle,20,high school,147687,skilled employee/official,big city
female,non-sngle,25,high school,125168,skilled employee/official,mid-sized city
Male,non-sngle,31,high school,115369,skilled employee/official,big city
Male,single,33,high school,95445,skilled employee/official,small city
female,non-sngle,26,high school,95159,skilled employee/official,mid-sized city
female,non-sngle,34,high school,153031,management/highly qualified employee,big city
Male,single,33,high school,108899,skilled employee/official,small city
Male,single,26,other/unknown,113515,skilled employee/official,mid-sized city
female,non-sngle,53,university,211229,management/highly qualified employee,small city
Male,non-sngle,42,university,121307,skilled employee/official,small city
Male,single,52,high school,131727,skilled employee/official,big city
Male,single,31,other/unknown,133574,management/highly qualified employee,mid-sized city
Male,single,65,university,117334,skilled employee/official,small city
Male,non-sngle,28,high school,177291,skilled employee/official,big city
Male,non-sngle,30,high school,168763,management/highly qualified employee,mid-sized city
Male,single,40,high school,77720,unemployed/unskilled,small city
Male,single,50,high school,176645,skilled employee/official,big city
Male,single,36,high school,106205,skilled employee/official,mid-sized city
Male,single,31,other/unknown,97785,skilled employee/official,mid-sized city
female,non-sngle,74,graduate school,214364,management/highly qualified employee,mid-sized city
Male,single,68,university,74525,unemployed/unskilled,small city
Male,non-sngle,20,high school,98988,skilled employee/official,small city
female,non-sngle,33,high school,133561,skilled employee/official,mid-sized city
Male,single,54,high school,217651,management/highly qualified employee,big city
Male,single,34,high school,116525,unemployed/unskilled,small city
Male,single,36,high school,135302,skilled employee/official,big city
Male,non-sngle,29,high school,106434,skilled employee/official,mid-sized city
Male,single,21,other/unknown,128350,skilled employee/official,big city
female,non-sngle,34,high school,147626,management/highly qualified employee,big city
female,non-sngle,28,high school,102697,skilled employee/official,small city
female,non-sngle,27,high school,120262,skilled employee/official,small city
Male,single,36,high school,124214,skilled employee/official,big city
Male,non-sngle,40,high school,175223,management/highly qualified employee,mid-sized city
Male,single,52,high school,137467,skilled employee/official,small city
Male,non-sngle,27,high school,65815,unemployed/unskilled,small city
Male,single,26,other/unknown,129864,skilled employee/official,mid-sized city
Male,non-sngle,21,high school,88475,skilled employee/official,mid-sized city
Male,single,38,high school,74666,unemployed/unskilled,small city
Male,single,38,high school,222294,management/highly qualified employee,big city
Male,single,43,high school,112878,skilled employee/official,small city
Male,single,26,other/unknown,103411,skilled employee/official,big city
Male,non-sngle,21,high school,112868,unemployed/unskilled,small city
Male,single,55,high school,157940,skilled employee/official,big city
Male,single,33,high school,115835,skilled employee/official,big city
female,non-sngle,45,university,109807,unemployed/unskilled,small city
Male,single,50,high school,150699,skilled employee/official,mid-sized city
Male,single,66,university,178967,management/highly qualified employee,small city
Male,single,51,high school,132767,skilled employee/official,small city
female,non-sngle,39,university,86152,unemployed/unskilled,small city
Male,single,31,other/unknown,114528,skilled employee/official,big city
Male,single,23,other/unknown,133912,skilled employee/official,mid-sized city
Male,non-sngle,24,high school,81210,unemployed/unskilled,small city
female,non-sngle,64,graduate school,131242,skilled employee/official,small city
Male,non-sngle,26,high school,68804,unemployed/unskilled,small city
female,non-sngle,23,high school,96961,skilled employee/official,mid-sized city
Male,single,30,other/unknown,90719,skilled employee/official,big city
Male,single,32,other/unknown,114116,skilled employee/official,mid-sized city
Male,single,30,other/unknown,128639,skilled employee/official,mid-sized city
Male,single,27,other/unknown,106623,skilled employee/official,mid-sized city
Male,single,27,other/unknown,236264,skilled employee/official,mid-sized city
Male,single,53,high school,207783,management/highly qualified employee,mid-sized city
Male,single,22,other/unknown,91739,skilled employee/official,mid-sized city
Male,single,22,other/unknown,107780,skilled employee/official,big city
Male,single,26,other/unknown,139157,skilled employee/official,big city
Male,single,51,high school,121751,unemployed/unskilled,small city
Male,single,35,high school,121974,skilled employee/official,small city
Male,non-sngle,25,high school,70320,unemployed/unskilled,small city
Male,single,42,high school,78327,unemployed/unskilled,small city
Male,single,30,other/unknown,131433,management/highly qualified employee,small city
Male,single,23,other/unknown,167076,unemployed/unskilled,big city
Male,non-sngle,61,university,130788,unemployed/unskilled,small city
female,non-sngle,35,high school,107408,skilled employee/official,mid-sized city
Male,single,39,high school,115323,skilled employee/official,mid-sized city
female,non-sngle,29,high school,99012,skilled employee/official,small city
Male,single,51,high school,115996,skilled employee/official,mid-sized city
Male,single,24,other/unknown,123353,skilled employee/official,mid-sized city
female,non-sngle,27,high school,100008,skilled employee/official,small city
female,non-sngle,35,high school,125105,unemployed/unskilled,small city
Male,single,25,other/unknown,92020,skilled employee/official,big city
Male,single,52,high school,108365,skilled employee/official,big city
Male,single,35,high school,112979,skilled employee/official,small city
Male,single,26,other/unknown,117221,skilled employee/official,mid-sized city
female,non-sngle,22,high school,88800,skilled employee/official,big city
female,non-sngle,39,university,115099,unemployed/unskilled,small city
female,non-sngle,46,university,113399,unemployed/unskilled,small city
female,non-sngle,24,high school,115879,skilled employee/official,mid-sized city
Male,single,35,high school,141270,skilled employee/official,big city
Male,single,24,other/unknown,107633,skilled employee/official,mid-sized city
Male,single,27,other/unknown,131751,unemployed/unskilled,small city
Male,single,35,high school,83687,unemployed/unskilled,small city
Male,non-sngle,29,high school,106828,skilled employee/official,big city
female,non-sngle,23,high school,135537,skilled employee/official,mid-sized city
female,non-sngle,57,university,107142,unemployed/unskilled,small city
Male,single,27,other/unknown,97446,skilled employee/official,mid-sized city
female,non-sngle,55,university,126357,skilled employee/official,big city
Male,single,36,high school,169617,management/highly qualified employee,mid-sized city
female,non-sngle,57,university,108945,unemployed/unskilled,small city
Male,single,32,other/unknown,67345,unemployed/unskilled,small city
Male,single,37,high school,106215,skilled employee/official,small city
Male,single,36,high school,149237,skilled employee/official,small city
female,non-sngle,38,high school,112124,skilled employee/official,small city
Male,non-sngle,45,university,215150,management/highly qualified employee,big city
Male,single,25,other/unknown,89534,skilled employee/official,mid-sized city
Male,single,32,other/unknown,111082,skilled employee/official,big city
female,non-sngle,37,high school,137069,skilled employee/official,mid-sized city
Male,single,36,high school,244541,management/highly qualified employee,big city
Male,single,28,other/unknown,120712,skilled employee/official,mid-sized city
Male,non-sngle,34,high school,175367,unemployed/unskilled,small city
Male,single,32,other/unknown,111418,skilled employee/official,mid-sized city
female,non-sngle,26,high school,110913,skilled employee/official,small city
Male,non-sngle,49,university,84267,unemployed/unskilled,small city
female,non-sngle,32,high school,136886,skilled employee/official,big city
Male,single,29,other/unknown,144884,management/highly qualified employee,big city
Male,single,23,other/unknown,151180,skilled employee/official,mid-sized city
Male,single,50,high school,114997,skilled employee/official,mid-sized city
Male,single,49,high school,100961,unemployed/unskilled,small city
Male,single,63,university,124849,skilled employee/official,big city
Male,non-sngle,37,high school,152308,skilled employee/official,big city
female,non-sngle,35,high school,167945,unemployed/unskilled,mid-sized city
Male,single,26,other/unknown,126706,skilled employee/official,big city
Male,single,31,other/unknown,210017,management/highly qualified employee,big city
female,non-sngle,49,university,125665,skilled employee/official,mid-sized city
Male,non-sngle,48,university,111184,skilled employee/official,mid-sized city
Male,non-sngle,26,high school,94134,skilled employee/official,small city
Male,non-sngle,28,high school,214620,management/highly qualified employee,mid-sized city
female,non-sngle,44,university,193816,management/highly qualified employee,mid-sized city
Male,single,56,high school,168714,skilled employee/official,mid-sized city
Male,non-sngle,46,university,202997,management/highly qualified employee,mid-sized city
female,non-sngle,26,high school,192451,skilled employee/official,big city
female,non-sngle,20,high school,127928,skilled employee/official,big city
Male,single,45,high school,78253,unemployed/unskilled,small city
Male,single,43,high school,118446,skilled employee/official,mid-sized city
Male,single,32,other/unknown,161379,skilled employee/official,big city
female,non-sngle,54,university,56622,unemployed/unskilled,small city
female,non-sngle,42,university,146117,skilled employee/official,mid-sized city
Male,single,37,high school,90418,unemployed/unskilled,small city
Male,single,49,high school,109053,skilled employee/official,small city
Male,single,44,high school,219319,skilled employee/official,small city
Male,non-sngle,33,high school,144701,skilled employee/official,mid-sized city
female,non-sngle,24,high school,102425,unemployed/unskilled,small city
Male,non-sngle,33,high school,79867,unemployed/unskilled,small city
female,non-sngle,24,high school,107114,skilled employee/official,big city
Male,non-sngle,22,high school,62263,unemployed/unskilled,small city
Male,single,40,high school,92567,unemployed/unskilled,small city
Male,single,25,other/unknown,146349,skilled employee/official,small city
female,non-sngle,26,high school,141825,skilled employee/official,mid-sized city
Male,non-sngle,25,high school,68582,unemployed/unskilled,small city
Male,single,29,other/unknown,85476,unemployed/unskilled,small city
Male,single,31,other/unknown,111091,skilled employee/official,big city
Male,single,38,high school,67110,unemployed/unskilled,small city
female,non-sngle,48,university,126154,unemployed/unskilled,small city
Male,single,32,other/unknown,92257,skilled employee/official,big city
female,non-sngle,27,high school,93605,unemployed/unskilled,small city
Male,non-sngle,28,high school,165190,management/highly qualified employee,small city
Male,non-sngle,32,high school,107195,skilled employee/official,small city
Male,single,34,high school,145059,management/highly qualified employee,small city
Male,single,28,other/unknown,148363,skilled employee/official,small city
female,non-sngle,36,high school,105681,skilled employee/official,big city
Male,single,39,high school,93732,unemployed/unskilled,small city
Male,single,49,high school,154778,skilled employee/official,big city
female,non-sngle,34,high school,149356,skilled employee/official,big city
Male,single,31,other/unknown,145670,skilled employee/official,mid-sized city
Male,single,28,other/unknown,101589,skilled employee/official,big city
Male,single,75,university,213333,management/highly qualified employee,mid-sized city
female,non-sngle,30,high school,122420,skilled employee/official,small city
female,non-sngle,24,high school,209856,management/highly qualified employee,mid-sized city
female,non-sngle,24,high school,181003,unemployed/unskilled,small city
Male,single,23,other/unknown,117804,skilled employee/official,mid-sized city
Male,non-sngle,44,university,160650,management/highly qualified employee,mid-sized city
female,non-sngle,23,high school,84611,unemployed/unskilled,small city
female,non-sngle,24,high school,98479,skilled employee/official,big city
Male,single,28,other/unknown,122359,skilled employee/official,big city
Male,non-sngle,31,high school,81394,unemployed/unskilled,small city
female,non-sngle,24,high school,150372,skilled employee/official,mid-sized city
female,non-sngle,26,high school,92385,unemployed/unskilled,small city
Male,non-sngle,25,high school,149851,skilled employee/official,big city
Male,single,33,high school,167939,management/highly qualified employee,mid-sized city
Male,single,37,high school,115426,unemployed/unskilled,small city
female,non-sngle,43,university,85402,unemployed/unskilled,small city
Male,single,23,other/unknown,95815,skilled employee/official,big city
female,non-sngle,23,high school,97518,unemployed/unskilled,small city
Male,single,34,high school,87355,unemployed/unskilled,small city
Male,single,32,other/unknown,145933,skilled employee/official,mid-sized city
female,non-sngle,23,high school,97307,skilled employee/official,small city
female,non-sngle,29,high school,108434,skilled employee/official,big city
Male,single,38,high school,151312,management/highly qualified employee,mid-sized city
Male,single,28,other/unknown,141847,skilled employee/official,mid-sized city
Male,single,46,high school,130675,skilled employee/official,big city
Male,single,23,other/unknown,69309,unemployed/unskilled,small city
Male,single,49,high school,121466,skilled employee/official,big city
Male,single,26,other/unknown,153586,management/highly qualified employee,big city
Male,non-sngle,28,high school,92849,skilled employee/official,small city
female,non-sngle,23,high school,108539,skilled employee/official,big city
Male,single,61,university,129556,skilled employee/official,big city
Male,single,37,high school,170146,management/highly qualified employee,small city
female,non-sngle,36,high school,135383,skilled employee/official,mid-sized city
Male,non-sngle,21,high school,96769,skilled employee/official,big city
Male,single,25,other/unknown,43684,unemployed/unskilled,small city
Male,single,36,high school,103521,skilled employee/official,small city
Male,single,27,other/unknown,118499,skilled employee/official,mid-sized city
female,non-sngle,22,high school,119684,skilled employee/official,big city
Male,single,42,high school,126586,skilled employee/official,mid-sized city
female,non-sngle,40,university,136812,skilled employee/official,big city
Male,single,36,high school,118277,skilled employee/official,mid-sized city
Male,single,33,high school,144597,skilled employee/official,mid-sized city
female,non-sngle,23,high school,106043,skilled employee/official,small city
Male,single,63,university,272314,management/highly qualified employee,big city
female,non-sngle,60,university,309364,management/highly qualified employee,big city
female,non-sngle,37,high school,170386,skilled employee/official,mid-sized city
Male,non-sngle,34,high school,112458,skilled employee/official,small city
Male,single,36,high school,96840,skilled employee/official,mid-sized city
Male,single,57,university,281923,management/highly qualified employee,mid-sized city
female,non-sngle,52,university,95551,unemployed/unskilled,small city
Male,single,39,high school,112347,skilled employee/official,big city
female,non-sngle,38,high school,260977,management/highly qualified employee,big city
female,non-sngle,25,high school,99354,skilled employee/official,small city
Male,single,26,other/unknown,111509,skilled employee/official,big city
Male,single,26,other/unknown,105252,unemployed/unskilled,small city
female,non-sngle,25,high school,108522,skilled employee/official,small city
female,non-sngle,21,high school,94655,skilled employee/official,mid-sized city
Male,single,40,high school,201699,management/highly qualified employee,mid-sized city
Male,single,27,other/unknown,139868,skilled employee/official,big city
female,non-sngle,27,high school,102543,skilled employee/official,mid-sized city
Male,non-sngle,30,high school,134467,management/highly qualified employee,big city
female,non-sngle,19,high school,111187,unemployed/unskilled,small city
Male,single,39,high school,152302,management/highly qualified employee,mid-sized city
female,non-sngle,31,high school,110610,skilled employee/official,big city
Male,single,31,other/unknown,137827,management/highly qualified employee,big city
Male,single,32,other/unknown,220923,skilled employee/official,big city
female,non-sngle,55,university,165717,management/highly qualified employee,big city
Male,non-sngle,46,university,122299,skilled employee/official,small city
Male,non-sngle,46,university,120499,skilled employee/official,small city
female,non-sngle,43,university,126449,unemployed/unskilled,small city
Male,non-sngle,39,high school,108315,skilled employee/official,big city
Male,non-sngle,28,high school,112515,skilled employee/official,mid-sized city
Male,single,27,other/unknown,164559,skilled employee/official,mid-sized city
Male,single,27,other/unknown,59238,unemployed/unskilled,small city
Male,single,43,high school,131133,skilled employee/official,small city
Male,non-sngle,22,high school,109188,skilled employee/official,small city
Male,single,43,high school,115393,skilled employee/official,mid-sized city
Male,non-sngle,27,high school,94711,skilled employee/official,big city
Male,non-sngle,26,high school,171860,management/highly qualified employee,small city
Male,non-sngle,28,high school,139414,skilled employee/official,big city
female,non-sngle,20,high school,110931,skilled employee/official,mid-sized city
Male,single,35,high school,187549,management/highly qualified employee,big city
Male,single,42,high school,145508,management/highly qualified employee,small city
Male,single,40,high school,104240,unemployed/unskilled,small city
female,non-sngle,35,high school,108272,skilled employee/official,mid-sized city
Male,single,35,high school,144004,skilled employee/official,big city
Male,single,33,high school,81083,unemployed/unskilled,small city
female,non-sngle,23,high school,166763,skilled employee/official,mid-sized city
female,non-sngle,31,high school,175530,management/highly qualified employee,mid-sized city
female,non-sngle,33,high school,112422,skilled employee/official,mid-sized city
female,non-sngle,20,high school,154134,skilled employee/official,big city
Male,single,30,other/unknown,112401,skilled employee/official,mid-sized city
Male,single,47,high school,85690,unemployed/unskilled,small city
Male,single,34,high school,145896,management/highly qualified employee,big city
female,non-sngle,25,high school,122552,skilled employee/official,big city
Male,non-sngle,21,high school,115494,skilled employee/official,big city
Male,single,29,other/unknown,109467,skilled employee/official,small city
Male,single,46,high school,148226,skilled employee/official,big city
Male,single,20,other/unknown,88559,skilled employee/official,mid-sized city
female,non-sngle,55,university,62393,unemployed/unskilled,small city
Male,single,74,university,122133,unemployed/unskilled,small city
Male,single,29,other/unknown,230883,management/highly qualified employee,big city
Male,single,36,high school,136689,management/highly qualified employee,big city
Male,non-sngle,33,high school,109145,skilled employee/official,small city
Male,single,25,other/unknown,100449,skilled employee/official,big city
Male,non-sngle,25,high school,106253,skilled employee/official,small city
Male,non-sngle,23,high school,84747,unemployed/unskilled,small city
female,non-sngle,37,high school,149465,skilled employee/official,mid-sized city
Male,single,65,university,84435,unemployed/unskilled,small city
female,non-sngle,26,high school,51681,unemployed/unskilled,small city
Male,single,39,high school,139198,management/highly qualified employee,mid-sized city
female,non-sngle,30,high school,106577,skilled employee/official,mid-sized city
Male,single,29,other/unknown,117372,skilled employee/official,big city
Male,single,41,high school,69609,unemployed/unskilled,small city
female,non-sngle,30,high school,178947,management/highly qualified employee,big city
female,non-sngle,41,university,81743,unemployed/unskilled,small city
female,non-sngle,34,high school,111900,skilled employee/official,mid-sized city
Male,single,35,high school,121650,skilled employee/official,small city
female,non-sngle,55,university,172639,management/highly qualified employee,big city
Male,non-sngle,61,university,175740,skilled employee/official,mid-sized city
Male,single,30,other/unknown,220050,management/highly qualified employee,big city
female,non-sngle,29,high school,95200,skilled employee/official,mid-sized city
Male,single,34,high school,113609,skilled employee/official,mid-sized city
Male,single,35,high school,143552,management/highly qualified employee,big city
Male,single,31,other/unknown,130973,skilled employee/official,big city
female,non-sngle,29,high school,145946,management/highly qualified employee,big city
Male,single,36,high school,126206,skilled employee/official,mid-sized city
Male,single,35,high school,120426,skilled employee/official,small city
female,non-sngle,27,high school,91925,skilled employee/official,big city
Male,single,32,other/unknown,129630,skilled employee/official,big city
Male,single,37,high school,124268,skilled employee/official,big city
Male,single,36,high school,105240,skilled employee/official,mid-sized city
female,non-sngle,34,high school,162180,management/highly qualified employee,small city
Male,single,38,high school,106552,skilled employee/official,big city
Male,single,34,high school,105843,skilled employee/official,big city
Male,single,63,university,138327,skilled employee/official,mid-sized city
female,non-sngle,29,high school,76154,unemployed/unskilled,small city
Male,single,32,other/unknown,155012,skilled employee/official,mid-sized city
female,non-sngle,26,high school,114369,skilled employee/official,mid-sized city
Male,single,35,high school,102839,unemployed/unskilled,small city
Male,non-sngle,22,high school,132796,skilled employee/official,small city
female,non-sngle,23,high school,89742,skilled employee/official,big city
Male,single,28,other/unknown,58615,unemployed/unskilled,small city
Male,single,36,high school,130603,management/highly qualified employee,big city
Male,non-sngle,33,high school,110340,skilled employee/official,small city
female,non-sngle,26,high school,117729,skilled employee/official,big city
Male,single,24,other/unknown,130808,skilled employee/official,small city
Male,single,25,other/unknown,147402,skilled employee/official,big city
Male,single,39,high school,93567,unemployed/unskilled,small city
Male,single,44,high school,109289,skilled employee/official,mid-sized city
female,non-sngle,23,high school,98742,unemployed/unskilled,small city
Male,single,26,other/unknown,101270,skilled employee/official,small city
female,non-sngle,57,university,187835,skilled employee/official,mid-sized city
female,non-sngle,30,high school,140741,skilled employee/official,small city
Male,single,44,high school,133265,skilled employee/official,big city
Male,single,47,high school,148100,management/highly qualified employee,big city
Male,single,52,high school,131021,skilled employee/official,big city
female,non-sngle,62,university,152620,skilled employee/official,big city
Male,single,35,high school,85033,unemployed/unskilled,small city
Male,single,26,other/unknown,114514,skilled employee/official,mid-sized city
Male,single,26,other/unknown,99307,skilled employee/official,mid-sized city
female,non-sngle,42,university,219451,management/highly qualified employee,big city
female,non-sngle,27,high school,114007,skilled employee/official,small city
Male,single,38,high school,102846,skilled employee/official,small city
Male,single,39,high school,81483,unemployed/unskilled,small city
Male,non-sngle,20,high school,107779,skilled employee/official,big city
Male,single,29,other/unknown,222360,management/highly qualified employee,big city
